"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2
7750670011839	COUNTER	GASEOSA		Pulp Nectar - Caja 315mL		Paq. de 24	0.83	1.2	-52	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
0003	COUNTER	SERVIC		Corte - Guillotina			0	1	995	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
ENVIO01	COUNTER	SERVIC		Envío de Información 			0	1	990	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
3013016872032	COUNTER	LIBRERIA		Mini Engrampador Ove 			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082010246	COUNTER	LIBRERIA		Sacagrapas Artesco 			0	2.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754005016834	COUNTER	LIBRERIA		Masking 2(48mm*20 yds)			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7891360621676	COUNTER	LIBRERIA		Colores Grande Faber Castell			0	8.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082042674	COUNTER	LIBRERIA		Lapiz Grafito - Artesco			0	1	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754806000025	COUNTER	LIBRERIA		Engrampador Alleanza			0	5.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750212044714	COUNTER	LIBRERIA		Cuaderno A4 - Navarrete			0	4	-2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082006959	COUNTER	LIBRERIA		Tampon Chico- Artesco			0	3.8	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750215014021	COUNTER	LIBRERIA		Cuadernno luxe			0	6	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750049005018	COUNTER	LIBRERIA		Cuaderno Surco			0	3.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750212048163	COUNTER	LIBRERIA		Cuaderno Theme Book			0	6	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PAL001	COUNTER	LIBRERIA		Palitos de Chupete			0	1.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PAL002	COUNTER	LIBRERIA		Paquete de Baja Lengua			0	5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PINCEL001	COUNTER	LIBRERIA		Pinceles Variados			0	3	3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750885012928	COUNTER	SNACK		Galleta Frac			0	0.6	-4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PROY001	COUNTER	LIBRERIA		Proyecto Escolar - Timbre Eléctrico			0	30	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PROY002	COUNTER	LIBRERIA		Proyecto Escolar - Disco de Newton			0	30	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PROY004	COUNTER	LIBRERIA		Proyecto Escolar - Robot hexápodo			0	60	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PROY003	COUNTER	LIBRERIA		Proyecto Escolar - Generador de Electricidad			0	40	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PROY005	COUNTER	LIBRERIA		Proyecto Escolar - Energía Solar (reloj)			0	25	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PROY006	COUNTER	LIBRERIA		Proyecto Escolar - Garra Electrónica			0	55	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
PROY007	COUNTER	LIBRERIA		Proyecto Escolar - Amplificador de Rádio			0	60	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7613035754485	COUNTER	SNACK		Galleta Morocha - Doble Placer			0	1.3	-34	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
6939540505178	COUNTER	LIBRERIA		Mini Engrapador - Strapler			0	3.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750082007543	COUNTER	LIBRERIA		Goma en barra - Artesco 8gr		Docena	1	1.5	-34	0	1899:12:30:00:00:00	2017:05:05:00:00:00	
7754005009072	COUNTER	LIBRERIA		Goma en barra - Pegafan 25gr			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
3013017335468	COUNTER	LIBRERIA		Colores Chico - Ove			0	4.5	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754005008556	COUNTER	LIBRERIA		Cola Sintética - Pegafan 60g			0	2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7754005008549	COUNTER	LIBRERIA		Cola Sintética - Pegafan 130g			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
8619074442351	COUNTER	LIBRERIA		corrector oval		docena	0.833333333333333	1.5	-46	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
013992222121	COUNTER	SNACK		chocolate sublime con mani 			0	1	-4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
00091112322	COUNTER	SNACK		Cheetos picante			0	1	-99	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
00299882119	COUNTER	SNACK		Galleta Chokis (Chokchis)		Paq. de 6	0.72	1	-49	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
022222018	COUNTER	SNACK		Topline chicles pequeños			0	0.1	-24	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
22caa18s	COUNTER	SNACK		habas- karinto			0	1.2	-8	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
FOT10	COUNTER	SERVIC		Fotocopia de DNI			0	0.3	-572	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
AVI01	COUNTER	SERVIC		Publicación AVISO A4 x 15 días			0	4	80	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
AVI02	COUNTER	SERVIC		Publicación AVISO A5 x 15 días			0	2	80	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
AVI03	COUNTER	SERVIC		Publicación AVISO A6 x 15 días			0	1	75	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
001254898	COUNTER	SNACK		chupetin GROSSO			0	0.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
GALLETA001	COUNTER	SNACK		Galleta Soda ARCOR	Arcor		0	0.6	-29	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
OTRO00000	COUNTER	OTRO		OTRO - COUNTER Escriba descripción			0	500.2	1562	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
COC01	COCINA	BEBIDAS		Chupete (Marciano)			0	1	-93	0	2017:02:28:18:16:01	2017:02:28:18:16:01	
7750885610247	COUNTER	SNACK		Galleta Tuareg- Costa			0	0.7	-4	0	2017:03:02:12:10:42	2017:03:02:12:10:42	
7750243034562	COUNTER	SNACK		Galleta Soda V 	Victoria		0.38	0.6	-8	0	2017:03:02:12:12:06	2017:03:02:12:12:06	
77546128	COUNTER	SNACK		Chicles en barra topline 			0	0.5	-40	0	2017:03:02:12:19:53	2017:03:02:12:19:53	
LIB001	COUNTER	LIBRERIA		huellero tampón JQ		docena	0.666666666666667	1.5	-17	0	2017:03:23:10:41:32	2017:03:23:10:41:32	
740617169836	COUNTER	LIBRERIA		Memoria USB Kingston 8GB - 101		docena o fracción	12	23	-22	0	2017:03:23:12:01:27	2017:03:23:00:00:00	
7750885011983	COUNTER	SNACK		Obsesión Chico 21g	Costa	Paq. de 12	0.316666666666667	0.7	-28	0	2017:03:27:22:55:22	2017:03:27:22:55:22	
#271	COUNTER	LIBRERIA		Cajita de chinches TOP CREDIT X 50 unid	TOP CREDIT	Caja de 10 cajitas	0.555555555555556	1.2	-3	0	2017:03:28:22:29:24	2017:03:28:22:29:24	
7750885635011	COUNTER	SNACK		Galleta Chips Chocolate	Costa	Paq. de 6	0.483333333333333	0.7	-23	0	2017:04:03:17:35:08	2017:04:03:17:35:08	
7750885008105	COUNTER	SNACK		Cañonazo	Costa		0.375	0.7	-20	0	2017:04:03:17:55:42	2017:04:03:17:55:42	
77542496	COUNTER	SNACK		Muss Cremino	Cremino	Paq de 24	0.407083333333333	0.6	-18	0	2017:04:05:16:04:58	2017:04:05:16:04:58	
7622210675569	COUNTER	SNACK		Galleta ChokoSoda (Chocosoda)	Field	Paq de 6	0.608333333333333	1	-63	0	2017:04:05:16:06:59	2017:04:05:16:06:59	
#276	COUNTER	SNACK		Galleta OREO chocolate	Nabisco	Pag de 6	0.516666666666667	0.7	-62	0	2017:04:05:16:09:03	2017:04:05:16:09:03	
7590011205158	COUNTER	SNACK		Galleta Club Social	Nabisco	Pag de 6	0.416666666666667	0.7	-62	0	2017:04:05:16:11:22	2017:04:05:16:11:22	
77530974	COUNTER	GASEOSA		Agua San Mateo 600mL con Gas		Paq. de 15	1.2	1.8	-159	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
3800084673	COUNTER	SNACK		Pringles Original 37g		unid	3.35	3.7	-1	0	2017:04:19:21:13:07	2017:04:19:21:13:07	
7622300124526	COUNTER	SNACK		Galleta Ritz Queso		bolsa de 6	0.531666666666667	0.8	-55	0	2017:04:20:15:48:48	2017:04:20:15:48:48	
7622300116521	COUNTER	SNACK		Galleta Ritz		bolsa de 6	0.42	0.7	-55	0	2017:04:20:15:50:03	2017:04:20:15:50:03	
859733006328	COUNTER	LIBRERIA		Memoria USB Kigston 16GB - 101		docena o fracción	15	28	-6	0	2017:04:21:10:37:57	2017:04:21:10:37:57	
#284	COUNTER	LIBRERIA		Mouse Logitech M90		unidad	14	18	-4	0	2017:04:22:13:29:06	2017:04:22:13:29:06	
#285	COUNTER	LIBRERIA		Teclado Logitech K120		unidad	24.5	32	-1	0	2017:04:22:13:30:21	2017:04:22:13:30:21	
#286	COUNTER	LIBRERIA		Tinta EPSON 664		unidad	29	35	0	0	2017:04:22:13:31:10	2017:04:22:13:31:10	
#287	COUNTER	LIBRERIA		Papelógrafo		ciento	0.18	0.7	-34	0	2017:04:25:22:32:08	2017:04:25:22:32:08	
7622300095888	COUNTER	SNACK		Doña Pepa		caja de 30	0.511333333333333	0.7	-70	0	2017:05:10:13:58:31	2017:05:10:13:58:31	
740617169850	COUNTER	LIBRERIA		Memoria USB Kingston 32GB - 101		docena o fracción	37	48	-1	0	2017:05:18:09:35:46	2017:05:18:09:35:46	
6940928400329	COUNTER	LIBRERIA		Audífono Halion	HALION	Docena o fracción	15	21	-2	0	2017:05:18:10:58:44	2017:05:18:10:58:44	
7702133862816	COUNTER	SNACK		Trident - Goma de mascar	ADAMS	Caja de 18	0.716111111111111	1	-58	0	2017:05:20:22:39:42	2017:05:20:22:39:42	
7750885011778	COUNTER	SNACK		Vizzio - almendras con chocolate 21g	COSTA	Caja de 20	0.775	1.2	-20	0	2017:05:20:22:47:21	2017:05:20:22:47:21	
7802225510264	COUNTER	SNACK		Bombones Privilegio	ARCOR	Bolsa de 42	0.157142857142857	0.3	-120	0	2017:05:25:13:24:01	2017:05:25:13:24:01	
01600025	COUNTER	LIBRERIA		Etiquetas para Cuadernos			0	1.8	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	
7750885434621	COUNTER	SNACK		Wafer Nik Costa grande	COSTA	Paq. de 6	0.821666666666667	1.2	-6	0	2017:06:02:15:58:59	2017:06:02:15:58:59	
7895800164501	COUNTER	SNACK		Chiclets Adams Menta		Caja de 100	0.0994	0.2	-39	0	2017:06:03:10:55:57	2017:06:03:10:55:57	
7750168214292	COUNTER	SNACK		Chips Ahoy	NABISCO	Paq. de 6	0.85	1.2	-49	0	2017:06:03:10:58:16	2017:06:03:10:58:16	
7613036130714	COUNTER	SNACK		Mix Surtido Chocolate (Sublime, Triangulo, Princesa)	NESTLE	bolsa de 45	0.337777777777778	0.5	-209	0	2017:06:13:14:16:08	2017:06:13:14:16:08	
#296	COUNTER	LIBRERIA		Cargador  de celular USB Power Apapter		docena o fracción	10	20	-3	0	2017:06:23:14:44:38	2017:06:23:14:44:38	
6933138600313	COUNTER	LIBRERIA		Cable USB de datos para ANDROID		docena o fracción	10	15	-6	0	2017:06:23:14:45:33	2017:06:23:14:45:33	
7702133005947	COUNTER	SNACK		Galleta Coronita	Field	Paq de 6	0.483333333333333	0.7	-53	0	2017:06:28:13:52:36	2017:06:28:13:52:36	
7622300838355	COUNTER	SNACK		Galleta Charada	Field	Paq de 6	0.505	0.7	-33	0	2017:07:08:17:48:57	2017:07:08:17:48:57	
6604933C	COUNTER	LIBRERIA		Memoria MicroSD 8 GB		docena o fracción	13	25	-2	0	2017:07:11:19:11:55	2017:07:11:19:11:55	
6604933C_2	COUNTER	LIBRERIA		Memoria MicroSD 16 GB		docena o fracción	18	32	-1	0	2017:07:11:19:13:20	2017:07:11:19:13:20	
6604933C_3	COUNTER	LIBRERIA		Memoria MicroSD 32 GB		docena o fracción	35	55	0	0	2017:07:11:19:14:52	2017:07:11:19:14:52	
#304	COUNTER	LIBRERIA		Audífono para celular		docena o fracción	2.5	5.5	-7	0	2017:07:25:19:21:48	2017:07:25:19:21:48	
#306	COUNTER	GASEOSA		Oro Pet 400mL		Paq. de 15	0.7956	1.2	-16	0	2017:08:11:14:28:07	2017:08:11:14:28:07	
#305	COUNTER	GASEOSA		KR Pet 400mL		Paq. de 15	0.8	1.2	-8	0	2017:08:11:14:29:16	2017:08:11:14:29:16	
#300	COUNTER	SNACK		Caramelo HALLS CHERRY		Paq. de 100	0.075	0.2	-96	0	2017:08:14:12:00:00	2017:08:14:12:00:00	
#3000	COUNTER	SNACK		Trident - Goma de mascar bombonera	ADAMS	Caja de 60	0.105833333333333	0.2	-256	0	2017:08:19:12:20:53	2017:08:19:12:20:53	
#301	COUNTER	SNACK		Chicle Bubbaloo Fresa		Caja de 70	0.0822857142857143	0.2	-78	0	2017:09:15:20:05:25	2017:09:15:20:05:25	
#283	COUNTER	LIBRERIA		Pilas de reloj 1.55V		tira de 10	0.2	1	-6	0	2017:09:23:16:38:31	2017:09:23:16:38:31	
#282	COUNTER	SNACK		Chicharrón Clásico - Lay		???	0	1	-5	0	2017:10:25:13:50:21	2017:10:25:13:50:21	
#281	COUNTER	SERVIC		Quemado de DVD (sin incluir DVD)			0	3	-1	0	2017:10:26:13:47:23	2017:10:26:13:47:23	
#280	COUNTER	SNACK		Cuate picante			0	1.2	-5	0	2017:10:27:14:11:46	2017:10:27:14:11:46	
#279	COUNTER	SNACK		Panetón Donofrio bolsa		Docena o fracción	19.6	23.5	-4	0	2017:10:31:11:19:28	2017:10:31:11:19:28	
#1286	COUNTER	GASEOSA		Gaseosa Bio Aloe Uva		Paq de 12	1.54166666666667	2	-10	0	2017:11:04:13:26:02	2017:11:04:13:26:02	
7752025008501	COUNTER	SNACK		Camote NatuChips 36g			0	1.2	-4	0	2017:11:07:22:24:12	2017:11:07:22:24:12	
7613035612426	COUNTER	SNACK		Mini Morochas Snack		Tira de 8 unid.	0.825	1.2	-13	0	2017:11:07:22:25:17	2017:11:07:22:25:17	
7702024052036	COUNTER	SNACK		Galleta MILO		Paq de 6	0.633333333333333	0.8	-8	0	2017:11:07:22:31:55	2017:11:07:22:31:55	
7750670007047	COUNTER	GASEOSA		Gaseosa Big Cola		Paq de 12	0.883333333333333	1.5	-3	0	2017:11:23:14:15:16	2017:11:23:14:15:16	
